tamanho;algoritmo;cores;qtd_primos;tempo;speedup
10000000;serial;1;664579;1.2340;1.00x
10000000;openMp;4;664579;0.3910;3.16x
50000000;serial;1;3001134;10.2680;1.00x
50000000;openMp;4;3001134;3.1400;3.27x
100000000;serial;1;5761455;25.9990;1.00x
100000000;openMp;4;5761455;7.9510;3.27x
