tamanho;algoritmo;cores;qtd_primos;tempo
10000000;mpi;4;664579;0.9325
10000000;mpi;4;664579;0.9879
10000000;mpi;4;664579;1.0384
10000000;mpi;4;664579;1.0376
10000000;mpi;4;664579;1.1239
10000000;mpi;4;664579;1.1651
10000000;mpi;4;664579;1.0020
10000000;mpi;4;664579;0.9651
10000000;mpi;4;664579;1.2849
10000000;mpi;4;664579;1.1458
50000000;mpi;4;3001134;8.1798
50000000;mpi;4;3001134;8.1093
50000000;mpi;4;3001134;7.3239
50000000;mpi;4;3001134;7.1239
50000000;mpi;4;3001134;7.7353
50000000;mpi;4;3001134;7.0918
50000000;mpi;4;3001134;7.5605
50000000;mpi;4;3001134;7.2893
50000000;mpi;4;3001134;7.8786
50000000;mpi;4;3001134;7.7111
100000000;mpi;4;5761455;21.2578
100000000;mpi;4;5761455;14.0004
100000000;mpi;4;5761455;12.2898
100000000;mpi;4;5761455;12.8107
100000000;mpi;4;5761455;12.6560
100000000;mpi;4;5761455;12.6397
100000000;mpi;4;5761455;12.4159
100000000;mpi;4;5761455;12.5343
100000000;mpi;4;5761455;12.7912
100000000;mpi;4;5761455;12.3530
150000000;mpi;4;8444396;22.8708
150000000;mpi;4;8444396;21.6265
150000000;mpi;4;8444396;21.9136
150000000;mpi;4;8444396;21.1915
150000000;mpi;4;8444396;21.8887
150000000;mpi;4;8444396;23.2295
150000000;mpi;4;8444396;22.4020
150000000;mpi;4;8444396;21.4228
150000000;mpi;4;8444396;23.3295
150000000;mpi;4;8444396;22.9290
200000000;mpi;4;11078937;31.5446
200000000;mpi;4;11078937;34.0348
200000000;mpi;4;11078937;33.2470
200000000;mpi;4;11078937;33.1251
200000000;mpi;4;11078937;31.9257
200000000;mpi;4;11078937;34.6794
200000000;mpi;4;11078937;33.0480
200000000;mpi;4;11078937;32.4654
200000000;mpi;4;11078937;32.6848
200000000;mpi;4;11078937;32.5819
