tamanho;algoritmo;cores;qtd_primos;tempo
10000000;mpi;4;664579;0.4921
10000000;mpi;4;664579;0.4820
10000000;mpi;4;664579;0.5350
10000000;mpi;4;664579;0.4389
10000000;mpi;4;664579;0.4347
10000000;mpi;4;664579;0.4349
10000000;mpi;4;664579;0.4337
10000000;mpi;4;664579;0.4374
10000000;mpi;4;664579;0.4433
10000000;mpi;4;664579;0.4355
50000000;mpi;4;3001134;3.5532
50000000;mpi;4;3001134;3.5740
50000000;mpi;4;3001134;3.5748
50000000;mpi;4;3001134;3.5849
50000000;mpi;4;3001134;3.6234
50000000;mpi;4;3001134;3.6069
50000000;mpi;4;3001134;3.5875
50000000;mpi;4;3001134;3.6047
50000000;mpi;4;3001134;3.5888
50000000;mpi;4;3001134;3.6007
100000000;mpi;4;5761455;8.7317
100000000;mpi;4;5761455;8.6199
100000000;mpi;4;5761455;8.6252
100000000;mpi;4;5761455;8.6069
100000000;mpi;4;5761455;8.8365
100000000;mpi;4;5761455;8.6370
100000000;mpi;4;5761455;8.6019
100000000;mpi;4;5761455;8.6040
100000000;mpi;4;5761455;8.6437
100000000;mpi;4;5761455;8.6286
150000000;mpi;4;8444396;14.5748
150000000;mpi;4;8444396;14.5435
150000000;mpi;4;8444396;14.5897
150000000;mpi;4;8444396;14.5830
150000000;mpi;4;8444396;14.5867
150000000;mpi;4;8444396;14.5345
150000000;mpi;4;8444396;14.8301
150000000;mpi;4;8444396;14.5229
150000000;mpi;4;8444396;14.5484
150000000;mpi;4;8444396;14.6577
200000000;mpi;4;11078937;21.2562
200000000;mpi;4;11078937;21.2405
200000000;mpi;4;11078937;21.1464
200000000;mpi;4;11078937;21.2034
200000000;mpi;4;11078937;21.2325
200000000;mpi;4;11078937;21.1002
200000000;mpi;4;11078937;21.1434
200000000;mpi;4;11078937;21.1043
200000000;mpi;4;11078937;21.1070
200000000;mpi;4;11078937;21.1422
