tamanho;algoritmo;cores;qtd_primos;tempo;speedup
100000000;openMp;4;5761455;7,8683;3.30x
100000000;serial;1;5761455;25,9458;1.00x
100000000;openMp;4;5761455;7,9228;3.27x
100000000;serial;1;5761455;25,9382;1.00x
100000000;openMp;4;5761455;7,9272;3.27x
100000000;serial;1;5761455;25,9536;1.00x
100000000;openMp;4;5761455;7,9784;3.25x
100000000;serial;1;5761455;26,0356;1.00x
100000000;openMp;4;5761455;7,8995;3.30x
100000000;serial;1;5761455;25,9461;1.00x
100000000;openMp;4;5761455;7,8707;3.30x
100000000;serial;1;5761455;25,9394;1.00x
100000000;openMp;4;5761455;7,89;3.29x
100000000;serial;1;5761455;25,9796;1.00x
100000000;openMp;4;5761455;7,9312;3.28x
150000000;serial;1;8444396;44,7828;1.00x
150000000;openMp;4;8444396;13,5736;3.30x
150000000;serial;1;8444396;44,8692;1.00x
150000000;openMp;4;8444396;13,5508;3.31x
150000000;serial;1;8444396;44,8507;1.00x
150000000;openMp;4;8444396;13,5638;3.31x
150000000;serial;1;8444396;44,7759;1.00x
150000000;openMp;4;8444396;13,5652;3.30x
150000000;serial;1;8444396;44,8045;1.00x
150000000;openMp;4;8444396;13,5961;3.30x
150000000;serial;1;8444396;44,7618;1.00x
150000000;openMp;4;8444396;13,5612;3.30x
150000000;serial;1;8444396;44,7395;1.00x
150000000;openMp;4;8444396;13,8318;3.23x
150000000;serial;1;8444396;44,7795;1.00x
150000000;openMp;4;8444396;13,6015;3.29x
150000000;serial;1;8444396;44,8396;1.00x
150000000;openMp;4;8444396;13,5881;3.30x
150000000;serial;1;8444396;45,1363;1.00x
150000000;openMp;4;8444396;13,6217;3.31x
200000000;serial;1;11078937;66,3204;1.00x
200000000;openMp;4;11078937;20,0305;3.31x
200000000;serial;1;11078937;66,2049;1.00x
200000000;openMp;4;11078937;20,0201;3.31x
200000000;serial;1;11078937;66,3861;1.00x
200000000;openMp;4;11078937;20,0241;3.32x
200000000;serial;1;11078937;66,1604;1.00x
200000000;openMp;4;11078937;20,043;3.30x
200000000;serial;1;11078937;66,1895;1.00x
200000000;openMp;4;11078937;19,986;3.31x
200000000;serial;1;11078937;66,2297;1.00x
200000000;openMp;4;11078937;20,0572;3.30x
200000000;serial;1;11078937;66,2552;1.00x
200000000;openMp;4;11078937;20,0002;3.31x
200000000;serial;1;11078937;66,1513;1.00x
200000000;openMp;4;11078937;19,9613;3.31x
200000000;serial;1;11078937;66,1792;1.00x
200000000;openMp;4;11078937;20,045;3.30x
200000000;serial;1;11078937;66,2876;1.00x
200000000;openMp;4;11078937;20,0347;3.31x
10000000;mpi;1;664579;1,3353;
10000000;mpi;1;664579;1,3353;
10000000;mpi;1;664579;1,3284;
10000000;mpi;1;664579;1,3229;
10000000;mpi;1;664579;1,3281;
10000000;mpi;1;664579;1,325;
10000000;mpi;1;664579;1,3284;
10000000;mpi;1;664579;1,3253;
10000000;mpi;1;664579;1,3258;
10000000;mpi;1;664579;1,3355;
50000000;mpi;1;3001134;10,8775;
50000000;mpi;1;3001134;10,8621;
50000000;mpi;1;3001134;10,8435;
50000000;mpi;1;3001134;10,8513;
50000000;mpi;1;3001134;10,8444;
50000000;mpi;1;3001134;10,8506;
50000000;mpi;1;3001134;10,8509;
50000000;mpi;1;3001134;10,8501;
50000000;mpi;1;3001134;10,8607;
50000000;mpi;1;3001134;10,8547;
100000000;mpi;1;5761455;27,2028;
